# Column descriptions:
# id	Object ID, according to EcoCyc
# complex-count-avg	A floating point number
# complex-count-std	A floating point number
# complex-concentration-avg	A floating point number in mM units
# complex-concentration-std	A floating point number in mM units
# relative-complex-mass-to-total-protein-mass	A floating point number
# relative-complex-mass-to-total-cell-dry-mass	A floating point number
id	complex-count-avg	complex-count-std	complex-concentration-avg	complex-concentration-std	relative-complex-mass-to-total-protein-mass	relative-complex-mass-to-total-cell-dry-mass
ABC-4-CPLX	98.62521824131478	50.958137831664416	0.00011124942318519836	5.124494872896959e-05	9.416084488835201e-05	4.460395226523344e-05
ABC-40-CPLX	57.82181838140741	53.52971196446316	6.62980886008421e-05	6.052638122204726e-05	5.590972099437252e-05	2.6484411109017162e-05
ABC-41-CPLX	18.880720013381982	18.431226952381806	2.137533227896982e-05	1.990528191058731e-05	2.8248326436342927e-05	1.3381220245351009e-05
ABC-42-CPLX	24.233891961401344	36.410429686558956	2.7209585685464303e-05	3.9128463510398054e-05	2.774438190269056e-05	1.3142501933615298e-05
ABC-45-CPLX	78.75338470063042	26.908527948392983	8.940690045380832e-05	2.5472980741705793e-05	0.00014393443042952985	6.818167861402115e-05
ABC-46-CPLX	24.49786463288413	38.0707324385198	2.7496468968603804e-05	4.1161625610001745e-05	2.8393727075112855e-05	1.3450096466233673e-05
ABC-48-CPLX	33.1312375197332	46.88343064671451	3.713018176048285e-05	4.961077178203171e-05	2.949906154532745e-05	1.3973692935711269e-05
ABC-49-CPLX	58.78544657138974	25.819118180283116	6.638318906390451e-05	2.5019061674268877e-05	8.201206528124132e-05	3.8849080520837706e-05
ABC-5-CPLX	7.778089094729799	7.581886297884919	8.873521179660926e-06	8.57606161599817e-06	8.632587914119182e-06	4.089253231567325e-06
ABC-51-CPLX	12.921634379149198	26.47612903807451	1.478914126713823e-05	2.8426004628640396e-05	1.3310371150098175e-05	6.305117165372433e-06
ABC-52-CPLX	0.0	0.0	0.0	0.0	0.0	0.0
ABC-54-CPLX	59.386932703264996	26.523307061419036	6.740145944855461e-05	2.6465391053806004e-05	3.755470024612113e-05	1.7789645569762207e-05
ABC-55-CPLX	0.0	0.0	0.0	0.0	0.0	0.0
ABC-56-CPLX	6.641977083355114	15.307750749935533	7.5915911898133596e-06	1.793628504193241e-05	7.10456938903165e-06	3.3654315046678913e-06
ABC-57-CPLX	18.71339818715957	14.99730869749371	2.1099505825193504e-05	1.5679928489562728e-05	1.9861502024339436e-05	9.408385080442946e-06
ABC-58-CPLX	13.202031343111939	22.28505537020949	1.493628767176434e-05	2.4328767799420435e-05	2.092944939342527e-05	9.914271295981555e-06
ABC-59-CPLX	15.420074019090235	31.51617776672988	1.76290105471543e-05	3.6090732727726714e-05	2.2045647269206942e-05	1.044301375606625e-05
ABC-6-CPLX	130.19184849086784	80.39049825473812	0.0001463996479691817	8.117507437144854e-05	0.00012049994087892815	5.7080770858631493e-05
ABC-60-CPLX	6.229385997009963	17.2006785380707	6.984083045974698e-06	1.9378515435711016e-05	5.611678764230833e-06	2.6582498492272934e-06
